title,id,genre,release_date,budget,revenue,vote_average
Tom Jones,5769,Adventure,1963.0,1000000,37600000,6.1
55 Days at Peking,27759,Action,1963.0,17000000,10000000,6.3
Donovan's Reef,15875,Adventure,1963.0,2686000,6600000,6.0
Hud,24748,Action,1963.0,2500000,10000000,7.5
The Great Escape,5925,Adventure,1963.0,4000000,11744471,7.8
Mary Poppins,433,Comedy,1964.0,6000000,102272727,7.4
A Hard Day's Night,704,Comedy,1964.0,560000,12299668,7.3
The Fall of the Roman Empire,17277,Drama,1964.0,19000000,4750000,6.0
Goldfinger,658,Adventure,1964.0,2500000,124881062,7.2
The Train,3482,Action,1964.0,5800000,6800000,7.2
My Fair Lady,11113,Drama,1964.0,17000000,72070731,7.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,935,Drama,1964.0,1800000,9440272,8.0
A Fistful of Dollars,391,Western,1964.0,200000,14500000,7.6
The Sound of Music,15121,Drama,1965.0,8200000,286214286,7.4
Doctor Zhivago,907,Drama,1965.0,11000000,111858363,7.4
Thunderball,660,Adventure,1965.0,5500000,141195658,6.5
The Greatest Story Ever Told,2428,Drama,1965.0,20000000,15473333,6.5
Harper,26268,Action,1966.0,3500000,12000000,6.2
Torn Curtain,5780,Mystery,1966.0,3000000,13000000,6.4
A Man for All Seasons,874,Drama,1966.0,3900000,28350000,7.5
"The Good, the Bad and the Ugly",429,Western,1966.0,1200000,6000000,8.1
You Only Live Twice,667,Action,1967.0,9500000,111584787,6.5
In Cold Blood,18900,Crime,1967.0,3500000,13007551,7.4
Point Blank,26039,Action,1967.0,2500000,3200000,7.1
Once Upon a Time in the West,335,Western,1968.0,5000000,5321508,8.1
Charly,29146,Drama,1968.0,950000,814666,6.6
Night of the Living Dead,10331,Horror,1968.0,114000,30000000,7.5
Hang 'em High,4929,Western,1968.0,1800000,6800000,6.7
Shalako,39209,Western,1968.0,1455000,2620000,5.4
Rosemary's Baby,805,Horror,1968.0,3200000,33395426,7.5
Oliver!,17917,Drama,1968.0,10000000,37402877,7.0
2001: A Space Odyssey,62,Science Fiction,1968.0,10500000,68700000,7.9
Barbarella,8069,Science Fiction,1968.0,9000000,2500000,5.7
The Wild Bunch,576,Adventure,1969.0,6244087,638641,7.6
Midnight Cowboy,3116,Drama,1969.0,3600000,44785053,7.4
Paint Your Wagon,20391,Drama,1969.0,20000000,31678778,6.2
On Her Majesty's Secret Service,668,Adventure,1969.0,6500000,81974493,6.5
Topaz,2370,Action,1969.0,4000000,6000000,6.1
Butch Cassidy and the Sundance Kid,642,History,1969.0,6000000,102308889,7.4
Sweet Charity,42618,Comedy,1969.0,8000000,20000000,6.5
The Stewardesses,70478,Comedy,1969.0,100000,27000000,4.3
Woodstock,9459,History,1970.0,600000,34505110,7.1
Tora! Tora! Tora!,11165,History,1970.0,25485000,29548291,6.9
The Ballad of Cable Hogue,23330,Action,1970.0,3716946,5000000,6.9
Catch-22,10364,War,1970.0,18000000,24911670,6.7
Beneath the Planet of the Apes,1685,Adventure,1970.0,3000000,18999718,6.2
Beyond the Valley of the Dolls,5722,Comedy,1970.0,2090000,40000000,6.6
Waterloo,33157,History,1970.0,25000000,3052000,7.0
Patton,11202,Drama,1970.0,12000000,89800000,7.3
The Molly Maguires,42345,Drama,1970.0,11000000,2200000,5.9
Bananas,11302,Comedy,1971.0,2000000,11833696,6.7
Sweet Sweetback's Baadasssss Song,5822,Action,1971.0,150000,15200000,4.6
The Andromeda Strain,10514,Science Fiction,1971.0,6500000,12376563,7.0
Fiddler on the Roof,14811,Drama,1971.0,9000000,83304330,7.4
Willy Wonka & the Chocolate Factory,252,Family,1971.0,3000000,4000000,7.4
The French Connection,1051,Action,1971.0,1800000,41158757,7.4
Diamonds Are Forever,681,Adventure,1971.0,7200000,116019547,6.3
Escape from the Planet of the Apes,1687,Action,1971.0,2500000,12348905,6.3
The Godfather,238,Drama,1972.0,6000000,245066411,8.4
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,11624,Comedy,1972.0,2000000,18016290,6.6
Frenzy,573,Crime,1972.0,3500000,12600000,7.1
Conquest of the Planet of the Apes,1688,Action,1972.0,1700000,9700000,6.1
Live and Let Die,253,Adventure,1973.0,7000000,161777836,6.4
The Exorcist,9552,Drama,1973.0,8000000,441306145,7.5
High Plains Drifter,11901,Western,1973.0,5500000,15700000,7.4
Mean Streets,203,Drama,1973.0,500000,3000000,7.2
The Sting,9277,Comedy,1973.0,5500000,159616327,7.9
Pat Garrett & Billy the Kid,11577,Western,1973.0,4638783,11000000,7.2
Battle for the Planet of the Apes,1705,Action,1973.0,1700000,8844595,5.5
American Graffiti,838,Comedy,1973.0,777000,140000000,6.9
Sleeper,11561,Comedy,1973.0,2000000,18344729,7.0
Blazing Saddles,11072,Western,1974.0,2600000,119500000,7.2
The Godfather: Part II,240,Drama,1974.0,13000000,47542841,8.3
The Texas Chain Saw Massacre,30497,Horror,1974.0,85000,30859000,7.2
Young Frankenstein,3034,Comedy,1974.0,2800000,86273333,7.7
The Conversation,592,Crime,1974.0,1600000,4420000,7.5
The Man with the Golden Gun,682,Adventure,1974.0,7000000,97572000,6.3
Monty Python and the Holy Grail,762,Adventure,1975.0,400000,5028948,7.8
Barry Lyndon,3175,Drama,1975.0,11000000,20000000,7.7
The Return of the Pink Panther,11843,Comedy,1975.0,5000000,41833347,6.7
Jaws,578,Horror,1975.0,7000000,470654000,7.5
One Flew Over the Cuckoo's Nest,510,Drama,1975.0,3000000,108981275,8.2
Death Race 2000,13282,Action,1975.0,300000,8000000,5.9
Logan's Run,10803,Adventure,1976.0,9000000,25000000,6.6
Network,10774,Drama,1976.0,3800000,23689877,7.7
Family Plot,5854,Comedy,1976.0,2000000,7900000,6.7
The Bad News Bears,23479,Comedy,1976.0,35000000,35323292,6.9
Rocky,1366,Drama,1976.0,1000000,117235147,7.5
The Omen,794,Horror,1976.0,2800000,60922980,7.2
Taxi Driver,103,Crime,1976.0,1300000,28262574,8.0
Kingdom of the Spiders,30315,Horror,1977.0,500000,17000000,5.7
A Bridge Too Far,5902,Drama,1977.0,22000000,50750000,6.9
The Spy Who Loved Me,691,Adventure,1977.0,14000000,185438673,6.6
Star Wars,11,Adventure,1977.0,11000000,775398007,8.1
Close Encounters of the Third Kind,840,Science Fiction,1977.0,20000000,303788635,7.2
Exorcist II: The Heretic,11586,Horror,1977.0,14000000,30749142,4.5
Annie Hall,703,Comedy,1977.0,4000000,38251425,7.8
Damnation Alley,25763,Action,1977.0,17000000,8720000,5.0
High Anxiety,12535,Comedy,1977.0,3400000,31063038,6.5
Sorcerer,38985,Action,1977.0,22000000,12000000,7.4
Grease,621,Romance,1978.0,6000000,181813770,7.2
Jaws 2,579,Horror,1978.0,20000000,187884007,5.9
The Wiz,24961,Adventure,1978.0,24000000,21049053,5.9
Halloween,948,Horror,1978.0,300000,70000000,7.4
Animal House,8469,Comedy,1978.0,2700000,141000000,7.0
Superman,1924,Action,1978.0,55000000,300218018,6.9
Force 10 from Navarone,17339,Action,1978.0,5000000,7230000,6.4
The Deer Hunter,11778,Drama,1978.0,15000000,50000000,7.8
The Black Stallion,17264,Adventure,1979.0,2700000,37799643,7.0
Escape from Alcatraz,10734,Crime,1979.0,8000000,43000000,7.2
Prophecy,31915,Horror,1979.0,12000000,54000000,5.4
Apocalypse Now,28,Drama,1979.0,31500000,89460381,8.0
The Rose,16323,Drama,1979.0,9250000,29174648,6.8
1941,11519,Action,1979.0,35000000,31755742,5.6
Star Trek: The Motion Picture,152,Science Fiction,1979.0,35000000,139000000,6.2
Alien,348,Horror,1979.0,11000000,104931801,7.9
Mad Max,9659,Adventure,1979.0,400000,100000000,6.6
The Black Hole,9570,Adventure,1979.0,20000000,35841901,6.1
Moonraker,698,Action,1979.0,34000000,210308099,5.9
Coal Miner's Daughter,16769,Drama,1980.0,15000000,67182787,7.2
The Elephant Man,1955,Drama,1980.0,5000000,26010864,7.9
The Blue Lagoon,5689,Romance,1980.0,4500000,58853106,5.8
The Shining,694,Horror,1980.0,19000000,44017374,8.1
Caddyshack,11977,Comedy,1980.0,6000000,39846344,6.6
The Blues Brothers,525,Music,1980.0,27000000,115229890,7.5
The Long Riders,14729,Western,1980.0,10000000,15795189,6.6
Galaxina,33155,Comedy,1980.0,5500000,4865000,3.3
The Fog,790,Horror,1980.0,1000000,21378361,6.4
Heaven's Gate,10935,Action,1980.0,44000000,3484331,6.4
Airplane!,813,Comedy,1980.0,3500000,83453539,7.1
Superman II,8536,Action,1980.0,54000000,190458706,6.5
Raging Bull,1578,Drama,1980.0,18000000,23000000,7.7
Dressed to Kill,11033,Horror,1980.0,6500000,31899000,6.8
The Empire Strikes Back,1891,Adventure,1980.0,18000000,538400000,8.2
Flash Gordon,3604,Science Fiction,1980.0,35000000,27107960,6.1
Roar,2989,Adventure,1981.0,17000000,2000000,5.6
Quest for Fire,62204,Adventure,1981.0,12000000,55260558,7.1
Reds,18254,Drama,1981.0,32000000,40382659,7.1
Blow Out,11644,Drama,1981.0,18000000,12000000,7.3
Time Bandits,36819,Family,1981.0,5000000,42365581,6.6
Stripes,10890,Action,1981.0,10000000,85300000,6.5
The Howling,11298,Drama,1981.0,1000000,17985893,6.4
The Evil Dead,764,Horror,1981.0,350000,29400000,7.3
Dragonslayer,848,Fantasy,1981.0,18000000,14110013,6.5
Das Boot,387,Action,1981.0,14000000,85000000,7.9
History of the World: Part I,10156,Comedy,1981.0,11000000,31672907,6.5
Inchon,113464,Drama,1981.0,46000000,5200000,6.5
The Legend of the Lone Ranger,38665,Action,1981.0,18000000,2945600,3.7
Under the Rainbow,47941,Comedy,1981.0,20000000,2297493,4.9
Friday the 13th Part 2,9725,Horror,1981.0,1250000,21722776,6.0
Mad Max 2: The Road Warrior,8810,Adventure,1981.0,2000000,24600832,7.3
Escape from New York,1103,Science Fiction,1981.0,6000000,50244700,6.9
Heartbeeps,73247,Comedy,1981.0,10000000,2154696,3.8
Sphinx,47890,Adventure,1981.0,14000000,439564,6.0
For Your Eyes Only,699,Adventure,1981.0,28000000,195312802,6.3
Porky's,10246,Comedy,1981.0,4000000,125728258,6.1
Raiders of the Lost Ark,85,Adventure,1981.0,18000000,389925971,7.7
Chariots of Fire,9443,Drama,1981.0,5500000,58972904,6.8
Nighthawks,21610,Action,1981.0,5000000,19905359,6.4
The Verdict,24226,Drama,1982.0,16000000,53977250,7.4
Star Trek II: The Wrath of Khan,154,Action,1982.0,12000000,96800000,7.3
Blade Runner,78,Science Fiction,1982.0,28000000,33139618,7.9
Firefox,10724,Science Fiction,1982.0,18000000,70687344,5.5
The Best Little Whorehouse in Texas,16363,Comedy,1982.0,35000000,69701637,5.9
First Blood,1368,Action,1982.0,15000000,125212904,7.2
Halloween III: Season of the Witch,10676,Horror,1982.0,2500000,14400000,5.0
Conan the Barbarian,9387,Adventure,1982.0,20000000,79114085,6.6
The Man from Snowy River,24266,Family,1982.0,3500000,20659423,6.8
E.T. the Extra-Terrestrial,601,Science Fiction,1982.0,10500000,792910554,7.3
The Thing,1091,Horror,1982.0,15000000,19629760,7.8
Poltergeist,609,Horror,1982.0,10700000,122200000,7.0
Friday the 13th Part III,9728,Horror,1982.0,4000000,36690067,5.7
Creepshow,16281,Horror,1982.0,8000000,21028755,6.7
Tootsie,9576,Comedy,1982.0,21000000,177200000,6.9
Fast Times at Ridgemont High,13342,Comedy,1982.0,4500000,27092880,7.0
Gandhi,783,Drama,1982.0,22000000,77737889,7.4
Scarface,111,Action,1983.0,25000000,65884703,8.0
The Right Stuff,9549,Drama,1983.0,27000000,21500000,7.3
National Lampoon's Vacation,11153,Comedy,1983.0,15000000,61399552,7.1
Videodrome,837,Horror,1983.0,5952000,2120439,7.1
Lone Wolf McQuade,14854,Action,1983.0,5000000,12232628,5.5
Krull,849,Fantasy,1983.0,27000000,16519460,5.8
Losin' It,33676,Comedy,1983.0,7000000,1246141,4.5
Yentl,10269,Music,1983.0,12000000,30400000,6.2
WarGames,860,Thriller,1983.0,12000000,79567667,7.0
Octopussy,700,Adventure,1983.0,27500000,187500000,6.2
Flashdance,535,Drama,1983.0,4000000,92921203,6.1
Return of the Jedi,1892,Adventure,1983.0,32350000,572700000,7.9
The Dead Zone,11336,Horror,1983.0,10000000,20766616,6.9
The Outsiders,227,Crime,1983.0,10000000,33697647,6.9
Twilight Zone: The Movie,15301,Drama,1983.0,10000000,29450919,6.2
Superman III,9531,Comedy,1983.0,39000000,75850624,5.3
Never Say Never Again,36670,Adventure,1983.0,36000000,160000000,5.8
Trading Places,1621,Comedy,1983.0,40600000,90400000,7.1
The Karate Kid,1885,Drama,1984.0,8000000,90815558,6.9
C.H.U.D.,23730,Horror,1984.0,1250000,3412497,5.3
Repo Man,13820,Comedy,1984.0,1500000,2300000,6.7
The Cotton Club,2148,Music,1984.0,58000000,25928721,6.6
Police Academy,9336,Comedy,1984.0,4500000,146198896,6.5
Beverly Hills Cop,90,Action,1984.0,15000000,316360478,6.8
Firestarter,11495,Fantasy,1984.0,15000000,17080167,5.9
Sheena,24264,Action,1984.0,25000000,5778353,5.0
Indiana Jones and the Temple of Doom,87,Adventure,1984.0,28000000,333000000,7.1
The NeverEnding Story,34584,Drama,1984.0,27000000,20158808,7.0
Splash,2619,Comedy,1984.0,8000000,69821334,6.1
Body Double,11507,Crime,1984.0,10000000,8801940,6.4
Dune,841,Action,1984.0,40000000,30925690,6.5
Gremlins,927,Fantasy,1984.0,11000000,153083102,6.9
Conan the Destroyer,9610,Adventure,1984.0,18000000,100000000,5.8
Footloose,1788,Drama,1984.0,8200000,80035402,6.4
Star Trek III: The Search for Spock,157,Science Fiction,1984.0,18000000,87000000,6.4
The Bounty,2669,Action,1984.0,25000000,8613462,6.5
A Passage to India,15927,Drama,1984.0,8000000,27187653,6.9
Friday the 13th: The Final Chapter,9730,Horror,1984.0,2600000,32980880,5.9
The Terminator,218,Action,1984.0,6400000,78371200,7.3
Red Dawn,1880,Action,1984.0,4200000,38376497,6.4
Amadeus,279,Drama,1984.0,18000000,51973029,7.8
A Nightmare on Elm Street,377,Horror,1984.0,1800000,25504513,7.2
Red Sonja,9626,Adventure,1985.0,17900000,6948633,5.0
Day of the Dead,8408,Horror,1985.0,3500000,34000000,6.9
A View to a Kill,707,Adventure,1985.0,30000000,152427960,6.0
Back to the Future,105,Adventure,1985.0,19000000,381109762,8.0
Ladyhawke,526,Adventure,1985.0,20000000,18432000,6.8
Return to Oz,13155,Adventure,1985.0,25000000,11137801,6.7
The Last Dragon,13938,Action,1985.0,10000000,25754284,6.4
Out of Africa,606,Drama,1985.0,31000000,128499205,7.0
Friday the 13th: A New Beginning,9731,Horror,1985.0,2200000,21930418,5.1
Witness,9281,Crime,1985.0,12000000,68706993,7.0
A Room with a View,11257,Drama,1985.0,3000000,20966644,6.9
A Nightmare on Elm Street Part 2: Freddy's Revenge,10014,Horror,1985.0,3000000,29999213,5.7
Rambo: First Blood Part II,1369,Action,1985.0,44000000,300400432,6.3
The Color Purple,873,Drama,1985.0,15000000,146292009,7.7
Commando,10999,Action,1985.0,10000000,57500000,6.4
Mad Max Beyond Thunderdome,9355,Action,1985.0,12305523,36230219,5.9
The Return of the Living Dead,10925,Comedy,1985.0,4000000,14237000,7.3
My Beautiful Laundrette,11240,Romance,1985.0,860000,2451545,6.6
Subway,10656,Action,1985.0,2000000,390659,6.3
Stand by Me,235,Crime,1986.0,8000000,52287414,7.8
The Texas Chainsaw Massacre 2,16337,Horror,1986.0,4700000,8025872,5.9
Big Trouble in Little China,6978,Action,1986.0,25000000,11000000,7.1
The Color of Money,11873,Drama,1986.0,13800000,52293982,6.7
Invaders from Mars,31909,Science Fiction,1986.0,12000000,4884663,5.5
Platoon,792,Drama,1986.0,6000000,138530565,7.5
The Golden Child,10136,Action,1986.0,25000000,79817939,5.6
Peggy Sue Got Married,10013,Comedy,1986.0,18000000,41382841,5.9
Crocodile Dundee,9671,Adventure,1986.0,5000000,328203506,6.3
Friday the 13th Part VI: Jason Lives,10225,Horror,1986.0,3000000,19472057,5.7
Star Trek IV: The Voyage Home,168,Science Fiction,1986.0,24000000,133000000,6.9
Top Gun,744,Action,1986.0,15000000,356830601,6.7
Howard the Duck,10658,Comedy,1986.0,37000000,37962774,5.1
Little Shop of Horrors,10776,Horror,1986.0,25000000,38748395,6.6
Nine 1/2 Weeks,10068,Drama,1986.0,17000000,6735922,5.8
Highlander,8009,Adventure,1986.0,16000000,5900000,6.8
Aliens,679,Horror,1986.0,18500000,183316455,7.7
The Wraith,10017,Romance,1986.0,2700000,3500000,5.9
The Lost Boys,1547,Horror,1987.0,8500000,32222567,6.8
Superman IV: The Quest for Peace,11411,Action,1987.0,17000000,19300000,4.1
The Untouchables,117,Crime,1987.0,25000000,76270454,7.6
From a Whisper to a Scream,39895,Comedy,1987.0,1100000,1400000,6.8
Spaceballs,957,Comedy,1987.0,22700000,38119483,6.7
Beverly Hills Cop II,96,Action,1987.0,20000000,299965036,6.1
A Nightmare on Elm Street 3: Dream Warriors,10072,Horror,1987.0,5000000,44793222,6.5
Jaws: The Revenge,580,Adventure,1987.0,23000000,51881013,3.5
La Bamba,16620,Drama,1987.0,6500000,54215416,6.8
Wall Street,10673,Crime,1987.0,15000000,43848069,7.0
Hellraiser,9003,Horror,1987.0,1000000,14564027,6.9
The Last Emperor,746,Drama,1987.0,23000000,43984230,7.4
Ishtar,12704,Action,1987.0,55000000,14375181,4.2
"Good Morning, Vietnam",801,Comedy,1987.0,13000000,123922370,7.1
The Princess Bride,2493,Adventure,1987.0,16000000,30857814,7.6
Predator,106,Science Fiction,1987.0,18000000,98235548,7.3
Creepshow 2,16288,Horror,1987.0,3500000,14000000,5.9
Evil Dead II,765,Horror,1987.0,3600000,5923044,7.6
The Running Man,865,Action,1987.0,27000000,38122105,6.4
Fatal Attraction,10998,Drama,1987.0,14000000,320145693,6.6
The Living Daylights,708,Action,1987.0,40000000,191185897,6.2
Die Hard,562,Action,1988.0,28000000,140767956,7.5
Friday the 13th Part VII: The New Blood,10281,Horror,1988.0,2800000,19170001,5.3
Phantasm II,15158,Action,1988.0,3000000,7282851,6.3
Dangerous Liaisons,859,Drama,1988.0,14000000,34670720,7.0
Rain Man,380,Drama,1988.0,25000000,412800000,7.6
Rambo III,1370,Action,1988.0,63000000,189015611,5.7
Halloween 4: The Return of Michael Myers,11357,Horror,1988.0,5000000,17768757,5.9
Midnight Run,9013,Adventure,1988.0,30000000,38413606,7.2
Prison,48309,Crime,1988.0,1300000,354704,6.7
Talk Radio,10132,Drama,1988.0,4000000,3468572,6.7
Bloodsport,11690,Action,1988.0,1500000,11806119,6.6
They Live,8337,Action,1988.0,4000000,13008928,7.1
My Stepmother is an Alien,12120,Comedy,1988.0,20000000,13854000,5.3
Action Jackson,10117,Action,1988.0,7000000,20256975,4.9
The Land Before Time,12144,Animation,1988.0,12300000,84460846,7.0
Young Guns,11967,Crime,1988.0,13000000,44726644,6.6
A Nightmare on Elm Street 4: The Dream Master,10131,Horror,1988.0,7000000,72500000,5.8
Poltergeist III,10306,Horror,1988.0,10500000,14144000,4.5
Child's Play,10585,Horror,1988.0,9000000,44196684,6.3
Beetlejuice,4011,Fantasy,1988.0,15000000,73326666,7.1
Big,2280,Fantasy,1988.0,18000000,151668774,6.9
Twins,9493,Comedy,1988.0,15000000,216614388,5.7
The Last Temptation of Christ,11051,Drama,1988.0,7000000,8373585,7.0
Akira,149,Science Fiction,1988.0,8000000,553171,7.8
Black Rain,4105,Action,1989.0,30000000,45892212,6.2
The Abyss,2756,Adventure,1989.0,70000000,90000098,7.1
Star Trek V: The Final Frontier,172,Science Fiction,1989.0,30000000,70200000,5.6
Back to the Future Part II,165,Adventure,1989.0,40000000,332000000,7.4
Licence to Kill,709,Adventure,1989.0,32000000,156167015,5.9
Born on the Fourth of July,2604,Drama,1989.0,14000000,161001698,6.7
Glory,9665,War,1989.0,18000000,26828365,7.4
Dead Poets Society,207,Drama,1989.0,16400000,235860116,8.1
When Harry Met Sally...,639,Comedy,1989.0,16000000,92823546,7.3
Roger & Me,1779,Documentary,1989.0,160000,6706368,7.4
Pet Sematary,8913,Drama,1989.0,11500000,57469467,6.4
Halloween 5: The Revenge of Michael Myers,11361,Horror,1989.0,5000000,11642254,5.2
A Nightmare on Elm Street 5: The Dream Child,10160,Horror,1989.0,8000000,22168359,5.5
Do the Right Thing,925,Drama,1989.0,6500000,37295445,7.6
Tango & Cash,9618,Action,1989.0,55000000,63408614,6.1
Batman,268,Fantasy,1989.0,35000000,411348924,7.0
Friday the 13th Part VIII: Jason Takes Manhattan,10283,Horror,1989.0,5000000,14000000,4.8
Driving Miss Daisy,403,Comedy,1989.0,7500000,145793296,7.0
Major League,9942,Comedy,1989.0,11000000,49797148,6.6
Sea of Love,12150,Drama,1989.0,19000000,110879513,6.7
Road House,10135,Action,1989.0,15000000,30050028,6.3
Indiana Jones and the Last Crusade,89,Adventure,1989.0,48000000,474171806,7.6
Bill & Ted's Excellent Adventure,1648,Adventure,1989.0,10000000,40485039,6.7
Gremlins 2: The New Batch,928,Comedy,1990.0,50000000,41482207,6.2
The Godfather: Part III,242,Crime,1990.0,54000000,136766062,7.1
The Adventures of Ford Fairlane,9548,Action,1990.0,49000000,20423389,6.2
Back to the Future Part III,196,Adventure,1990.0,40000000,244527583,7.1
Dick Tracy,8592,Adventure,1990.0,47000000,103738726,5.9
Predator 2,169,Science Fiction,1990.0,35000000,57120318,5.9
Days of Thunder,2119,Adventure,1990.0,60000000,157920733,5.9
Flatliners,1551,Drama,1990.0,26000000,61489265,6.3
The Hunt for Red October,1669,Action,1990.0,30000000,199200000,7.2
Spaced Invaders,34086,Comedy,1990.0,3000000,15369573,4.7
Total Recall,861,Action,1990.0,65000000,261317921,7.1
Tremors,9362,Action,1990.0,11000000,48572000,6.6
Mo' Better Blues,41823,Drama,1990.0,10000000,16153593,6.3
Die Hard 2,1573,Action,1990.0,70000000,240031094,6.6
Child's Play 2,11186,Drama,1990.0,13000000,35763605,5.8
Pretty Woman,114,Romance,1990.0,14000000,463000000,7.0
Arachnophobia,6488,Comedy,1990.0,31000000,53208180,6.2
Dances with Wolves,581,Adventure,1990.0,22000000,424208848,7.6
Edward Scissorhands,162,Fantasy,1990.0,20000000,53000000,7.5
Ghost,251,Fantasy,1990.0,22000000,505000000,6.9
Home Alone,771,Comedy,1990.0,18000000,476684675,7.1
GoodFellas,769,Drama,1990.0,25000000,46836394,8.2
Kindergarten Cop,951,Comedy,1990.0,15000000,201957688,5.8
Cape Fear,1598,Crime,1991.0,35000000,182300000,7.0
The Addams Family,2907,Horror,1991.0,30000000,191502426,6.7
